username,user_id,message_count
"venomfr2172",79370281,850
"Billyox",45944861,765
"KiccckyGuzzz",83475902,753
"Jinwoo_018",64214208,732
"ROBIN_HOOD12",24773515,628
"HARI778",85425236,580
"sudhanshu1510",85753302,526
"Gautam2001",42234441,506
"Anshpruthi308829129",84092179,436
"CEO_Newshedy",85438264,322
"KingsmanX369",79590469,314
"rosebarry",78615904,314
"yumechanme",78609481,311
"Darkshadow57",79378163,288
"Gab_78df",84269099,267
"asta1671",72041386,231
"dannieexe",85643855,230
"AegoN_Vi",78687891,175
"Ria_riE",86764735,173
"Kingkung700",84243692,173
"DrVague",83958953,168
"Filix001",86768253,168
"sofia_thefirst",86765202,167
"Abhay19",86403933,165
"Vecna_x9",81618697,138
"Aryan_Vishwakarma",84067237,134
"KnotMagi",86766384,131
"Luxxop7",32339834,126
"JusticePaulinusEtim",86566138,125
"smarterblingz",59001692,121
"Popeslope",9610074,121
"Heradon907",86786615,119
"drekez",86794468,118
"Xpert_gamer12193",74015629,118
"Wompwomp822",86787509,118
"EPlC69",77603918,114
"JayTee001",86768865,104
"ROCKSUN19",35788949,99
"RukkfrmtheO",86763581,99
"sweetflipszayl",68151990,95
"Driz_24",86715899,95
"willyharris",86764308,94
"omoade234",86763684,91
"CryptoArtistrys",85436717,91
"Brenda_oceans",86776914,88
"Sofia_thelast",86766141,84
"Walker70",84558284,81
"Smith975",77357635,81
"H_Squared",50515734,78
"desam_wel",86788145,76
"shubham0882",79147388,75
"cookedasf",85012550,75
"nothing091",36014619,74
"hiesenberg091",84281095,73
"solomon_51",85740374,67
"darknesslord111112",58625339,66
"diddy_cadet",86767970,64
"itzadil99",78369599,64
"Davenport35",86764822,63
"ElimRenae",86719100,61
"Brownedc27",86768880,61
"theyluvv_artiee",86766062,54
"Godfada_xo",86717823,52
"Ivan_0101",86121809,47
"danielsweetflips",13312409,45
"Stoptouchingmepapi",86788870,44
"Real_Winter55",35129295,42
"Joanna124",78816110,41
"Legendfrr44",51630971,40
"RVipul56",1107125,40
"Andreww_03",85005293,39
"Futurekicks",248893,36
"Reyzboi",86820088,34
"Streamjunkiee",61114040,34
"cherry_0007",40783877,32
"kamankazie",70841222,32
"James_bonss",86819294,32
"Naman0925",27030198,30
"JEFFREYJO",86778406,30
"Little_MF",85654214,28
"natfrank",86595799,25
"FUSHGIRO",86756511,24
"AmorSweetflips",23392400,23
"Devang0222",64446546,23
"Ivan_soto1",84351614,13
"bigjosh0",86778725,12
"kaafidronix",85743356,10
"Paulonronin",85648461,8
"legit168",26781453,8
"OnionRings003",32138914,6
"oneluchogamer",3924000,5
"h4cHii",11298002,5
"Mariku_san",85430629,5
"Dukeasher",85494430,4
"anthonysherer",730,3
"KartikSweetflips",34306216,1
"Cornho",53871887,1